Country Name,Country Code,Series Name,Series Code,2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Greece,GRC,"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.DO.ZS,0.566690409833304,0.720053897206005,0.720000028610229,0.68620106958791,0.80024203612341,0.731292406713653,0.726684227102461
Greenland,GRL,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..,..,..,..,..,..,..
Greenland,GRL,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.LO.ZS,..,..,..,..,..,..,..
Greenland,GRL,"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.PO.ZS,..,..,..,..,..,..,..
Greenland,GRL,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",SE.PRM.CUAT.ZS,..,..,..,..,..,..,..
Greenland,GRL,"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",SE.TER.CUAT.ST.ZS,..,..,..,..,..,..,..
Greenland,GRL,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,..,..,..,..,..,..,..
Greenland,GRL,"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.MS.ZS,..,..,..,..,..,..,..
Greenland,GRL,"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.DO.ZS,..,..,..,..,..,..,..
Hungary,HUN,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,21.8310533614892,22.6326181219748,24.0799999237061,25.8268891446559,26.1627698354882,26.3525127220673,..
Hungary,HUN,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.LO.ZS,97.9200713547095,98.123389874414,98.1800003051758,98.5300299818609,98.6814542073807,98.9391289621067,..
Hungary,HUN,"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.PO.ZS,29.9894287339998,30.1741832993473,31.7600002288818,31.825661412766,31.5273699936718,32.4294359441122,..
Hungary,HUN,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",SE.PRM.CUAT.ZS,99.632034768316,99.603791470712,99.6699981689453,99.6347800829447,99.7040678710379,99.7482633639565,..
Hungary,HUN,"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",SE.TER.CUAT.ST.ZS,22.7951803367923,23.6431731385503,25,26.6341904068279,26.8869582379054,27.4083320001262,..
Hungary,HUN,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,78.5578395041174,79.0355701722967,80.0100021362305,81.5076989037062,82.7163076433239,83.8787312589267,..
Hungary,HUN,"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.MS.ZS,10.1070406821565,10.6659080566413,11.7700004577637,12.8553627913414,12.6195788721918,13.0642687836671,..
Hungary,HUN,"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.DO.ZS,0.729465424886722,0.637156764690932,0.689999997615814,0.535307955145514,0.481859999816204,0.530222124314408,..
Iceland,ISL,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,39.0388021816671,36.1399993896484,36.6199989318848,..,34.2379611825299,34.4636962573314,..
Iceland,ISL,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.LO.ZS,99.3853968259027,99.2900009155273,99.7099990844727,99.8551236859057,99.7479782248293,99.6458402302295,..
Iceland,ISL,"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.PO.ZS,48.7164195280305,46.310001373291,46.0699996948242,45.4957143752754,45.6932820425438,46.9061236658485,..
Iceland,ISL,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",SE.PRM.CUAT.ZS,100,100,100,100,100,100,..
Iceland,ISL,"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",SE.TER.CUAT.ST.ZS,41.3116279260387,38.3499984741211,38.7299995422363,38.2622349598955,38.3537293194334,40.1015824728699,..
Iceland,ISL,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,75.6547422497294,73.870002746582,74.1399993896484,79.7339835426261,79.1714880156996,80.1642544387572,..
Iceland,ISL,"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.MS.ZS,17.8236487853323,16.1499996185303,16.8700008392334,15.4464998853959,15.9502163462586,16.7264509649456,..
Iceland,ISL,"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.DO.ZS,1.41724740946616,1.38999998569489,1.41999995708466,1.35340891921721,1.2792053215595,1.27730554901901,..
Ireland,IRL,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,35.1531239019396,35.4656977800903,37.2187148537184,38.4914834180722,38.4278214966169,41.8523570536881,..
Ireland,IRL,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.LO.ZS,88.2008757922225,88.318227973516,89.26992229666,90.683408773517,90.8931906613085,92.463639353696,..
Ireland,IRL,"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.PO.ZS,..,..,..,..,61.6526743484404,63.3229555622022,..
Ireland,IRL,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",SE.PRM.CUAT.ZS,99.7830195725183,99.7891168531754,99.8091026651587,99.7232314661281,99.8144337748717,99.7002170808258,..
Ireland,IRL,"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",SE.TER.CUAT.ST.ZS,41.4037512278959,41.7537689994491,43.9937275511847,46.4313415037937,47.9131630717275,51.2489253962772,..
Ireland,IRL,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,75.2761545483232,75.9404571887024,77.577917817579,79.6562273497351,80.3261086296084,82.9957893963692,..
Ireland,IRL,"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.MS.ZS,10.903206497488,11.0303751706495,11.8542374196666,13.3270386899378,14.5222779950518,15.9779544539813,..
Ireland,IRL,"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.DO.ZS,1.14700560143717,1.25305166121753,1.24153787631311,1.27367561308079,1.55623932780552,1.53768415711434,..
Isle of Man,IMN,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..,..,..,..,..,..,..
Isle of Man,IMN,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.LO.ZS,..,..,..,..,..,..,..
Isle of Man,IMN,"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.PO.ZS,..,..,..,..,..,..,..
Isle of Man,IMN,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",SE.PRM.CUAT.ZS,..,..,..,..,..,..,..
