Label_clean,Question Description,"Variable Name
(2023)","Variable Name
(2024)","Question Location
(2023)","Question Location
(2024)",Questionnaire Label,Label,2023 Availability,2024 Availability,Both Years,Value Scheme Detailed,Missing Scheme Detailed: SPSS,Field Code: SPSS,Domain,Level,Helper,Column_category
GEN\AGE_OF_CHILD_WHEN_CAME_TO_<COUNTRY>,"How old was your child when he/she came to <country>?
",ASBH02B,,HQ-02B,,Home,GEN\AGE OF CHILD WHEN CAME TO <COUNTRY> (2023),✓,,,1: Younger than 3 years old; 2: 3 to 5 years old; 3: 6 to 7 years old; 4: 8 years old or older,9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,1: Younger than 3 years old; 2: 3 to 5 years old; 3: 6 to 7 years old; 4: 8 years old or older; 9: Omitted or invalid; 6: Logically not applicable; Sysmis: Not administered,Filter Dependent,Ordinal,,
GEN\AGE_OF_TEACHER,How old are you?,ATBG03,ATBLG03,TQG-03,TQG-03,Teacher,GEN\AGE OF TEACHER (2023),✓,✓,✓,1: Under 25; 2: 25–29; 3: 30–39; 4: 40–49; 5: 50–59; 6: 60 or more,9: Omitted or invalid; Sysmis: Not administered,1: Under 25; 2: 25–29; 3: 30–39; 4: 40–49; 5: 50–59; 6: 60 or more; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,,
GEN\AGREE\BEING_IN_SCHOOL,What do you think about your school? Tell how much you agree with these statements. I like being in school,ASBG13A,ASBLG11A,SQG-13a,SQG-11a,Student,GEN\AGREE\BEING IN SCHOOL (2023),✓,✓,✓,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot,9: Omitted or invalid; Sysmis: Not administered,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,,
GEN\AGREE\BELONG_AT_SCHOOL,What do you think about your school? Tell how much you agree with these statements. I feel like I belong at this school,ASBG13C,ASBLG11C,SQG-13c,SQG-11c,Student,GEN\AGREE\BELONG AT SCHOOL (2023),✓,✓,✓,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot,9: Omitted or invalid; Sysmis: Not administered,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,,
GEN\AGREE\CARES_ABOUT_CHILDS_PROG,What do you think of your child's school? My child's school cares about my child's progress in school,ASBH08C,ASBLH01C,,HQ-08c,Home,GEN\AGREE\CARES ABOUT CHILDS PROG (2023),✓,✓,✓,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot,9: Omitted or invalid; Sysmis: Not administered,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,GEN\AGREE\CARES ABOUT CHILDS PROG,Background Questionnaire Variables
GEN\AGREE\CLIMATE_CHANGE_AS_HIGH_PRIORITY,How much do you agree with these statements? Addressing climate change should be a high priority,ASBG11E,ASBLG09E,SQG-11e,SQG-09e,Student,GEN\AGREE\CLIMATE CHANGE AS HIGH PRIORITY (2023),✓,✓,✓,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot,9: Omitted or invalid; Sysmis: Not administered,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,,
GEN\AGREE\CREATE_GRAPHS_ON_COMPUTER,"How much do you agree with these statements? I can create tables, charts, and graphs using a computer, tablet, or smartphone",ASBG10C,ASBLG08C,SQG-10c,SQG-08c,Student,GEN\AGREE\CREATE GRAPHS ON COMPUTER (2023),✓,✓,✓,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot,9: Omitted or invalid; Sysmis: Not administered,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,,
GEN\AGREE\CREATE_PRESENTATIONS_ON_COMPUTER,"How much do you agree with these statements? I can create school presentations using a computer, tablet, or smartphone",ASBG10B,ASBLG08B,SQG-10b,SQG-08b,Student,GEN\AGREE\CREATE PRESENTATIONS ON COMPUTER (2023),✓,✓,✓,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot,9: Omitted or invalid; Sysmis: Not administered,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,,
GEN\AGREE\ENJOY_BEING_IN_NATURE,"How much do you agree with these statements? I enjoy being in nature (e.g., <forests, parks, deserts>)",ASBG11D,ASBLG09D,SQG-11d,SQG-09d,Student,GEN\AGREE\ENJOY BEING IN NATURE (2023),✓,✓,✓,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot,9: Omitted or invalid; Sysmis: Not administered,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,,
GEN\AGREE\FIND_INFORMATION_ONLINE,How much do you agree with these statements? I can find information that I need online,ASBG10D,ASBLG08D,SQG-10d,SQG-08d,Student,GEN\AGREE\FIND INFORMATION ONLINE (2023),✓,✓,✓,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot,9: Omitted or invalid; Sysmis: Not administered,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot; 9: Omitted or invalid; Sysmis: Not administered,Background Questionnaire Variables,Ordinal,,
