Variable,Label,Question Location,Level,Width,Decimals,Range Minimum,Range Maximum,Value Scheme Detailed,Missing Scheme Detailed: SPSS,Missing Scheme Detailed: SAS,Field Code: SPSS,Field Code: SAS,Domain,Variable Class,Comment
LCID_CQ_24,Locale ID of School Questionnaire (2024),,Nominal,10,0,,,"1040: Italian (Italy); 1042: Korean (Korea); 1053: Swedish (Sweden); 1060: Slovenian (Slovenia); 1071: Macedonian (North Macedonia); 1079: Georgian (Georgia); 10711: Albanian (Macedonia); 11265: Arabic (Jordan); 20744: Albanian (Kosovo); 20748: Montenegrin (Cyrillic, Montenegro)",9999999999: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,"1040: Italian (Italy); 1042: Korean (Korea); 1053: Swedish (Sweden); 1060: Slovenian (Slovenia); 1071: Macedonian (North Macedonia); 1079: Georgian (Georgia); 10711: Albanian (Macedonia); 11265: Arabic (Jordan); 20744: Albanian (Kosovo); 20748: Montenegrin (Cyrillic, Montenegro); 9999999999: Omitted or invalid; Sysmis: Not administered","1040: Italian (Italy); 1042: Korean (Korea); 1053: Swedish (Sweden); 1060: Slovenian (Slovenia); 1071: Macedonian (North Macedonia); 1079: Georgian (Georgia); 10711: Albanian (Macedonia); 11265: Arabic (Jordan); 20744: Albanian (Kosovo); 20748: Montenegrin (Cyrillic, Montenegro); .: Omitted or invalid; .A: Not administered",Calculated at IEA,IEA_D,
ACBG03A,GEN\STUDENTS BACKGROUND\ECONOMIC DISADVA (2023),ScQ-03a,Ordinal,1,0,,,1: 0 to 10%; 2: 11 to 25%; 3: 26 to 50%; 4: More than 50%,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: 0 to 10%; 2: 11 to 25%; 3: 26 to 50%; 4: More than 50%; 9: Omitted or invalid; Sysmis: Not administered,1: 0 to 10%; 2: 11 to 25%; 3: 26 to 50%; 4: More than 50%; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG03B,GEN\STUDENTS BACKGROUND\ECONOMIC AFFLUEN (2023),ScQ-03b,Ordinal,1,0,,,1: 0 to 10%; 2: 11 to 25%; 3: 26 to 50%; 4: More than 50%,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: 0 to 10%; 2: 11 to 25%; 3: 26 to 50%; 4: More than 50%; 9: Omitted or invalid; Sysmis: Not administered,1: 0 to 10%; 2: 11 to 25%; 3: 26 to 50%; 4: More than 50%; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG04,GEN\PERCENT OF STUDENTS <LANG OF TEST> (2023),ScQ-04,Ordinal,1,0,,,1: More than 90%; 2: 76 to 90%; 3: 51 to 75%; 4: 26 to 50%; 5: 25% or less,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: More than 90%; 2: 76 to 90%; 3: 51 to 75%; 4: 26 to 50%; 5: 25% or less; 9: Omitted or invalid; Sysmis: Not administered,1: More than 90%; 2: 76 to 90%; 3: 51 to 75%; 4: 26 to 50%; 5: 25% or less; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG05A,GEN\HOW MANY PEOPLE LIVE IN AREA (2023),ScQ-05A,Ordinal,2,0,,,"1: More than 500,000 people; 2: 100,001 to 500,000 people; 3: 50,001 to 100,000 people; 4: 30,001 to 50,000 people; 5: 15,001 to 30,000 people; 6: 3,001 to 15,000 people; 7: 3,000 people or fewer",99: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,"1: More than 500,000 people; 2: 100,001 to 500,000 people; 3: 50,001 to 100,000 people; 4: 30,001 to 50,000 people; 5: 15,001 to 30,000 people; 6: 3,001 to 15,000 people; 7: 3,000 people or fewer; 99: Omitted or invalid; Sysmis: Not administered","1: More than 500,000 people; 2: 100,001 to 500,000 people; 3: 50,001 to 100,000 people; 4: 30,001 to 50,000 people; 5: 15,001 to 30,000 people; 6: 3,001 to 15,000 people; 7: 3,000 people or fewer; .: Omitted or invalid; .A: Not administered",Background Questionnaire Variables,B,
ACBG05B,GEN\IMMEDIATE AREA OF SCH LOCATION (2023),ScQ-05B,Ordinal,1,0,,,1: Urban–Densely populated; 2: Suburban–On fringe or outskirts of urban area; 3: Medium size city or large town; 4: Small town or village; 5: Remote rural,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: Urban–Densely populated; 2: Suburban–On fringe or outskirts of urban area; 3: Medium size city or large town; 4: Small town or village; 5: Remote rural; 9: Omitted or invalid; Sysmis: Not administered,1: Urban–Densely populated; 2: Suburban–On fringe or outskirts of urban area; 3: Medium size city or large town; 4: Small town or village; 5: Remote rural; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG06A,GEN\INSTRUCTIONAL DAYS PER YEAR (2023),ScQ-06A,Ratio,3,0,140,365,,999: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,999: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG06B,GEN\TOTAL INSTRUCTIONAL TIME (2023),ScQ-06B,Ratio,3,0,120,800,,999: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,999: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG06C,GEN\INSTRUCTIONAL DAYS IN 1 CALENDER WEEK (2023),ScQ-06C,Ordinal,1,0,,,1: 6 days; 2: 5 1/2 days; 3: 5 days; 4: 4 1/2 days; 5: 4 days; 6: Other,9: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,1: 6 days; 2: 5 1/2 days; 3: 5 days; 4: 4 1/2 days; 5: 4 days; 6: Other; 9: Omitted or invalid; Sysmis: Not administered,1: 6 days; 2: 5 1/2 days; 3: 5 days; 4: 4 1/2 days; 5: 4 days; 6: Other; .: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
ACBG07,GEN\TOTAL NUMBER COMPUTERS (2023),ScQ-07,Ratio,4,0,0,2000,,9999: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,9999: Omitted or invalid; Sysmis: Not administered,.: Omitted or invalid; .A: Not administered,Background Questionnaire Variables,B,
